Title,Description,"Content Types"
"Audit Committee","Audit Committee","EDRMS University Committee"
"University Council","University Council","EDRMS University Committee"
"University Executive","University Executive","EDRMS University Committee"
"Estates Development Committee","Estates Development Committee","EDRMS University Committee"
"Deans and Directors Committee","Deans and Directors Committee","EDRMS University Committee"
"Employment and Finance Committee","Employment and Finance Committee","EDRMS University Committee"
"Governance and Membership Committee","Governance and Membership Committee","EDRMS University Committee"
"Human Resources Committee","Human Resources Committee","EDRMS University Committee"
"Independent Members","Independent Members","EDRMS University Committee"
"Nominations Committee","Nominations Committee","EDRMS University Committee"
"Planning and Resources Committee","Planning and Resources Committee","EDRMS University Committee"
"Planning and Resource Group","Planning and Resource Group","EDRMS University Committee"
"University Health and Safety Committee","University Health and Safety Committee","EDRMS University Committee"
"Remuneration Committee","Remuneration Committee","EDRMS University Committee"
"University Race and Religion Forum","University Race and Religion Forum","EDRMS University Committee"
"Research Committee","Research Committee","EDRMS University Committee"
"University Teaching and Learning Committee","University Teaching and Learning Committee","EDRMS University Committee"
"Teaching and Learning Development Group","Teaching and Learning Development Group","EDRMS University Committee"
"Quality Standards Panel(25)","Quality Standards Panel(25)","EDRMS University Committee"
"Award Ceremony Planning Group","Award Ceremony Planning Group","EDRMS University Committee"
"Senate","Senate","EDRMS University Committee"
"Student Council","Student Council","EDRMS University Committee"
"Exams Working Party","Exams Working Party","EDRMS University Committee"
"Registry Schools Partnership","Registry Schools Partnership","EDRMS University Committee"
"Standing Committee for Collaborative Provision","Standing Committee for Collaborative Provision","EDRMS University Committee"
"University Research Funding Committee","University Research Funding Committee","EDRMS University Committee"
"Ethics Committee","Ethics Committee","EDRMS University Committee"
"University Timetable User Group","University Timetable User Group","EDRMS University Committee"
"University Gender and Sexual Orientation Forum","University Gender and Sexual Orientation Forum","EDRMS University Committee"
"University Disability Forum","University Disability Forum","EDRMS University Committee"
"Equality and Diversity Enhancement Group","Equality and Diversity Enhancement Group","EDRMS University Committee"
"Senior Management Team","Senior Management Team","EDRMS University Committee"
"Quality and Standards Advisory Group","Quality and Standards Advisory Group","EDRMS University Committee"
"Managed Work Placement Forum","Managed Work Placement Forum","EDRMS University Committee"
"Teaching and Learning Institute Management Board","Teaching and Learning Institute Management Board","EDRMS University Committee"
"University Managers Group","University Managers Group","EDRMS University Committee"
"University International Committee","University International Committee","EDRMS University Committee"