Title,Description,ContentType
"School Board","","School of Applied Sciences"
"School Accreditation and Validation Panel","","School of Applied Sciences"
"School Ethics Committee","","School of Applied Sciences"
"School Research Committee","","School of Applied Sciences"
"School Annual Evaluation Committee","","School of Applied Sciences"
"Course Committees","","School of Applied Sciences Course Committee"
"School Teaching Committee","","School of Applied Sciences"
"Student Panels","","School of Applied Sciences Course Committee"
"School Health and Safety Committee","","School of Applied Sciences"
"School Management Committee","","School of Applied Sciences"
"Extenuating Circumstances Panel","","School of Applied Sciences"
"Course Assessment Boards","","School of Applied Sciences Course Committee"
"School Research Degrees Committee","","School of Applied Sciences"
"School International Committee","","School of Applied Sciences"
"School Marketing and Recruitment","","School of Applied Sciences"
"School Human Tissue Committee","","School of Applied Sciences"
"School Research Integrity and Ethics Committee","","School of Applied Sciences"
"Genetic Modification Committee","","School of Applied Sciences"